iden,year,name,profit,cumprofit,income,yield,cost,Ncost,disease,diseaseImpact,weedpenalty,newN,newseedbank
0.65,5,sprayed pasture,-177.96961562499996,-401.10491746446439,0.0,2.2233819579388303,230.0,0.0,0.36207065308832953,0.0,0.2588726806870566,55.584548948470754,411.7860542158731
0.7,6,wheat,120.84901695893907,-280.25590050552535,643.23077986009537,1.837802228171701,350.0,128.83090210305849,0.1,0.042596025628943622,0.12746899790370336,0.0,1179.0269675568381
0.5,7,wheat,8.9244274159649635,-271.3314730895604,602.77953714613989,1.7222272489889712,350.0,240.0,0.23508133217620988,0.050003141286514292,0.17596509868212384,0.0,2798.159778201866
0.55,8,sprayed pasture,-152.58669919648432,-423.91817228604475,0.0,1.89181447855547,230.0,0.0,0.27719544232001087,0.0,0.3693951738148433,47.295361963886748,1218.8110863139937
0.75,9,wheat,76.34496423393405,-347.57320805211072,616.54380322282452,1.7615537234937844,350.0,145.4092760722265,0.1,0.025509811530831344,0.1783331967563948,0.0,3419.406017908713
0.2,0,wheat,-169.16789788859793,-169.16789788859793,420.73210211140207,1.2020917203182917,350.0,239.9,0.28385114714150977,0.082158336679827734,0.10256410256410253,0.0,98.46315147928995
0.45,1,wheat,-0.18926586822536817,-169.3571637568233,589.80077277028909,1.6851450650579689,350.0,240.0,0.38726913955130243,0.097876722179851189,0.1059823992434411,0.0,243.10172895315463
0.05,2,sprayed pasture,-207.57499999999999,-376.93216375682329,0.0,0.80221852929880355,230.0,0.0,0.52086958825059304,0.0,0.21824442857899595,20.055463232470089,83.27636163291538
0.3,3,wheat,-16.839171594587295,-393.77133535141058,530.24869261120818,1.5149962646034518,350.0,199.88907353505982,0.1,0.026434376924171537,0.10491402009938666,0.0,182.31576695069072
0.4,4,wheat,-6.5817467482174559,-400.35308209962807,581.91934162786663,1.6626266903653333,350.0,240.0,0.21725125553775396,0.053146459017912415,0.11183575020823533,0.0,431.06343946424397
0.5,5,sprayed pasture,-177.96961562499996,-578.32269772462803,0.0,2.3046296096425296,230.0,0.0,0.3178638576824076,0.0,0.23179013011915672,57.615740241063243,205.4256758396864
0.95,6,wheat,132.68936770461065,-445.63333002001741,655.27570426153011,1.872216297890086,350.0,124.76851951787351,0.1,0.040106611021998813,0.11343549408343656,0.0,758.4289723065663
0.25,7,wheat,-92.455440268949516,-538.08877028896688,457.60632607464566,1.3074466459275591,350.0,240.0,0.23558991856832592,0.042424512151067274,0.150068340218525,0.0,1507.758001026385
0.85,8,sprayed pasture,-152.58669919648432,-690.67546948545123,0.0,2.0965372080158065,230.0,0.0,0.41805197260022697,0.0,0.3011542639947312,52.413430200395162,798.8247040236599
0.35,9,wheat,28.687580166095106,-661.9878893193561,530.6909611527916,1.5162598890079761,350.0,135.17313959920966,0.1,0.038451312834894745,0.15262600258848313,0.0,1738.63758093267
0.95,0,wheat,46.889271864439905,46.889271864439905,636.78927186443991,1.8193979196126855,350.0,239.9,0.30361704411644969,0.078486767988380238,0.10256410256410253,0.0,186.740365443787
0.5,1,wheat,46.421422546981667,93.310694411421565,638.86465531261229,1.8253275866074636,350.0,240.0,0.36886206620537104,0.065509565574548081,0.11214248216573341,0.0,474.6197320137278
0.05,2,sprayed pasture,-207.57499999999999,-114.26430558857842,0.0,0.78516562800479739,230.0,0.0,0.50523166831896005,0.0,0.2348623451548374,19.629140700119933,161.14635401359155
0.6,3,wheat,88.88519499643516,-25.379110592143263,654.41303511404521,1.8697515288972719,350.0,200.74171859976013,0.1,0.044678653581570728,0.11036525900320482,0.0,439.0621142883184
0.1,4,wheat,-231.7174476701372,-257.0965582622805,305.51176228526515,0.87289074938647193,350.0,240.0,0.29368497738584914,0.065031680055427601,0.12929072898704075,0.0,708.4261870796253
0.2,5,sprayed pasture,-177.96961562499996,-435.06617388728046,0.0,1.4906651021268138,230.0,0.0,0.34510396595083997,0.0,0.2509425815239694,37.266627553170345,284.486265053
0.85,6,wheat,101.07334073466289,-333.99283315261755,652.96430407463049,1.8656122973560871,350.0,165.46674489365932,0.1,0.037598548306398305,0.11886501395543347,0.0,923.5659413497592
